name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;59;0;174;3059;877;3059;854;0
header;26;155;26;185;1651;185;1651;155
A;823;226;823;253;846;253;846;226
A;521;241;521;242;521;242;521;241
A;674;865;674;871;679;871;679;865
B;823;866;823;893;844;893;844;866
A;862;1129;862;1130;863;1130;863;1129
A;803;1232;803;1239;810;1239;810;1232
C;823;1537;823;1565;843;1565;843;1537
A;221;1833;221;1838;227;1838;227;1833
A;284;1880;284;1884;289;1884;289;1880
D;832;2287;832;2314;854;2314;854;2287
B;533;2647;533;2665;546;2665;546;2647
B;716;2822;716;2840;730;2840;730;2822
B;215;2859;215;2879;230;2879;230;2859
