name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;260;0;352;3053;1452;3053;1429;0
header;213;153;213;182;1838;182;1838;153
A;1012;392;1012;419;1034;419;1034;392
A;320;957;320;968;326;968;326;957
A;887;1300;887;1300;888;1300;888;1300
B;1016;1313;1016;1339;1035;1339;1035;1313
D;536;1375;536;1388;554;1388;554;1375
A;626;1513;626;1524;633;1524;633;1513
A;782;1513;782;1524;789;1524;789;1513
A;831;1649;831;1661;838;1661;838;1649
C;1014;1993;1014;2021;1034;2021;1034;1993
A;1167;2177;1167;2179;1168;2179;1168;2177
A;1013;2223;1013;2229;1017;2229;1017;2223
D;1017;2636;1017;2663;1037;2663;1037;2636
